"counts","names"
1551,"gonna"
1547,"health"
1543,"monday"
1542,"sunday"
1538,"close"
1538,"move"
1531,"pay"
1510,"bring"
1508,"hate"
1508,"sometimes"
1502,"excited"
1502,"park"
1501,"needs"
1494,"program"
1489,"country"
1487,"thinking"
1481,"government"
1476,"area"
1475,"baby"
1466,"street"
1465,"power"
1460,"looks"
1451,"road"
1447,"cut"
1443,"instead"
1443,"means"
1439,"ask"
1433,"phone"
1429,"word"
1425,"john"
1424,"birthday"
1418,"heard"
1415,"couple"
1415,"saying"
1410,"important"
1406,"men"
1403,"quite"
1402,"series"
1398,"words"
1397,"special"
1395,"former"
1395,"running"
1394,"outside"
1394,"w"
1393,"hot"
1389,"college"
1388,"share"
1384,"books"
1384,"stuff"
1383,"list"
1382,"buy"
1382,"leave"
1381,"service"
1380,"board"
1374,"information"
1372,"add"
1372,"deal"
1371,"writing"
1369,"red"
1367,"song"
1362,"mom"
1361,"april"
1359,"talking"
1356,"court"
1355,"event"
1352,"hand"
1351,"seems"
1351,"whether"
1348,"meet"
1345,"problem"
1339,"either"
1335,"reading"
1332,"members"
1328,"gets"
1327,"project"
1327,"question"
1326,"york"
1320,"experience"
1319,"film"
1316,"havent"
1315,"behind"
1308,"enjoy"
1308,"future"
1308,"gave"
1305,"turn"
1303,"sleep"
1301,"rather"
1295,"thursday"
1292,"social"
1291,"system"
1281,"girls"
1279,"history"
1279,"parents"
1276,"meeting"
1272,"light"
1269,"feeling"
1267,"beer"
1266,"easy"
1266,"hour"
1263,"ok"
1262,"perfect"
1261,"knew"
1261,"tuesday"
1260,"woman"
1258,"goes"
1258,"green"
1256,"video"
1256,"wrong"
1250,"across"
1250,"shes"
1244,"couldnt"
1244,"order"
1238,"points"
1237,"reason"
1235,"market"
1235,"university"
1234,"san"
1228,"moment"
1226,"especially"
1226,"third"
1225,"sorry"
1222,"rest"
1221,"north"
1217,"front"
1214,"guess"
1212,"tweet"
1208,"south"
1203,"coach"
1197,"available"
1197,"lead"
1197,"sweet"
1192,"among"
1192,"death"
1190,"given"
1189,"fall"
1186,"mother"
1185,"chance"
1184,"email"
1182,"body"
1181,"bill"
1180,"six"
1179,"hell"
1176,"art"
1174,"child"
1172,"needed"
1167,"online"
1165,"decided"
1164,"media"
1164,"wants"
1163,"living"
1163,"short"
1160,"played"
1157,"felt"
1155,"final"
1151,"building"
1148,"march"
1144,"large"
1142,"b"
1140,"starting"
1139,"eat"
1137,"matter"
1135,"happen"
1134,"pick"
1132,"officials"
1129,"ones"
1127,"break"
1125,"dinner"
1124,"mr"
1123,"taken"
1121,"tried"
1119,"visit"
1118,"gone"
1118,"spring"
1117,"tv"
1116,"federal"
1116,"space"
1109,"fire"
1107,"lives"
1102,"cause"
1098,"seeing"
1097,"added"
1096,"players"
1094,"learn"
1093,"field"
1091,"fans"
1091,"glad"
1091,"town"
1091,"wednesday"
1089,"welcome"
1087,"within"
1086,"near"
1086,"obama"
1085,"although"
1078,"shot"
1076,"inside"
1076,"report"
1073,"crazy"
1071,"issue"
1071,"son"
1071,"understand"
1068,"major"
1068,"site"
1067,"west"
1067,"wouldnt"
1059,"department"
1059,"store"
1057,"district"
1057,"walk"
1052,"looked"
1051,"works"
1051,"write"
1049,"sense"
1048,"process"
1048,"tax"
1048,"yourself"
1047,"director"
1046,"card"
1044,"bed"
1043,"won"
1042,"known"
1039,"rock"
1037,"single"
1036,"paper"
1035,"church"
1033,"boy"
1032,"spent"
1029,"nearly"
1027,"worth"
1026,"loved"
1025,"drive"
1022,"age"
1022,"funny"
1021,"strong"
1019,"hair"
1017,"definitely"
1017,"sounds"
1016,"worked"
1015,"interesting"
1014,"eyes"
1014,"possible"
1014,"shows"
1010,"facebook"
1009,"happened"
1006,"record"
1004,"weve"
1003,"ohio"
1002,"youll"
998,"plans"
997,"per"
993,"turned"
993,"wife"
991,"huge"
989,"christmas"
988,"wanna"
987,"la"
985,"waiting"
985,"ya"
983,"takes"
977,"page"
976,"general"
969,"schools"
967,"based"
966,"likely"
965,"n"
963,"wonderful"
961,"send"
959,"goal"
958,"met"
957,"super"
956,"yearold"
952,"questions"
950,"yesterday"
949,"create"
946,"teams"
945,"recent"
943,"wow"
942,"control"
942,"himself"
935,"jobs"
935,"war"
934,"clear"
932,"air"
929,"fine"
927,"level"
926,"giving"
924,"finished"
922,"political"
919,"challenge"
919,"human"
917,"education"
917,"fan"
917,"personal"
915,"began"
915,"trip"
914,"perhaps"
913,"picture"
913,"sent"
913,"services"
912,"longer"
911,"hold"
910,"conference"
909,"middle"
908,"energy"
906,"earlier"
905,"include"
904,"cost"
903,"bar"
903,"door"
901,"band"
900,"return"
899,"boys"
897,"held"
895,"jersey"
895,"recently"
895,"seem"
894,"join"
893,"ur"
893,"washington"
892,"club"
890,"sound"
889,"ass"
888,"continue"
885,"damn"
885,"youve"
884,"dog"
882,"act"
882,"beat"
882,"luck"
881,"forget"
881,"player"
876,"chicago"
876,"issues"
874,"lots"
873,"decision"
870,"dead"
870,"lunch"
869,"wonder"
868,"price"
867,"sales"
867,"website"
866,"race"
865,"campaign"
863,"arent"
863,"moving"
862,"ball"
861,"ways"
860,"weather"
858,"cover"
858,"voice"
857,"expected"
856,"became"
855,"problems"
854,"above"
854,"companies"
852,"cleveland"
852,"father"
851,"husband"
851,"mark"
849,"knows"
847,"career"
845,"stand"
844,"america"
844,"oil"
844,"piece"
844,"save"
843,"research"
843,"vote"
843,"wine"
842,"simply"
841,"hands"
838,"budget"
838,"pass"
837,"brown"
837,"feet"
832,"cold"
831,"answer"
831,"brought"
831,"round"
827,"blue"
827,"whose"
826,"p"
824,"heat"
822,"alone"
