"counts","names"
768,"down the"
768,"rest of"
766,"me a"
766,"too much"
764,"on his"
763,"check out"
762,"ill be"
758,"how much"
757,"first time"
756,"than a"
755,"does not"
754,"out there"
753,"in that"
753,"to your"
753,"up on"
750,"if it"
750,"when we"
749,"of an"
743,"and is"
742,"wait to"
741,"is one"
741,"the two"
738,"as it"
738,"away from"
736,"back in"
735,"against the"
735,"its the"
735,"will have"
734,"it all"
734,"this morning"
733,"as they"
732,"looking forward"
732,"said that"
731,"come to"
731,"hope you"
730,"up for"
727,"got to"
727,"said it"
726,"to his"
725,"you need"
721,"it out"
721,"lots of"
719,"many of"
719,"who are"
718,"but he"
714,"of its"
713,"a day"
713,"said i"
712,"across the"
711,"about a"
710,"thanks to"
709,"as an"
708,"is my"
708,"with an"
707,"out and"
706,"if youre"
703,"i wish"
703,"might be"
701,"to put"
700,"where the"
698,"and im"
698,"him to"
697,"decided to"
695,"the book"
695,"up a"
694,"this weekend"
694,"to win"
693,"if we"
692,"that are"
691,"under the"
691,"what a"
691,"you guys"
690,"of what"
690,"theres a"
689,"make the"
688,"as much"
688,"that a"
687,"and more"
686,"that will"
684,"make sure"
682,"having a"
682,"to this"
681,"the s"
681,"time for"
680,"on their"
676,"for some"
676,"wants to"
675,"their own"
673,"with me"
672,"a small"
672,"for an"
672,"or the"
672,"think i"
671,"dont want"
668,"and was"
667,"it the"
664,"for his"
664,"there were"
663,"you were"
661,"i see"
661,"it a"
661,"you should"
659,"must be"
659,"not only"
659,"the season"
659,"this was"
659,"we need"
658,"love the"
658,"who has"
657,"percent of"
653,"you cant"
651,"along with"
651,"each other"
651,"is on"
651,"or a"
651,"the fact"
650,"like that"
650,"you i"
649,"my favorite"
649,"the story"
648,"have you"
648,"the big"
647,"about to"
647,"and all"
646,"do i"
646,"is just"
643,"of people"
640,"as he"
640,"for more"
640,"to watch"
639,"based on"
638,"going on"
638,"is still"
637,"at this"
636,"are in"
636,"need a"
634,"then i"
633,"with her"
631,"a week"
630,"for that"
630,"that she"
629,"but not"
629,"i still"
627,"to meet"
626,"tried to"
626,"who was"
625,"dont think"
625,"even though"
625,"in which"
625,"was just"
624,"love it"
623,"the country"
623,"to our"
622,"st louis"
621,"as we"
620,"a man"
620,"this time"
619,"so that"
618,"in her"
616,"better than"
613,"needs to"
612,"ready for"
610,"down to"
610,"that has"
610,"what we"
608,"and have"
608,"can do"
608,"im a"
607,"working on"
606,"even if"
606,"get it"
604,"to her"
603,"i saw"
603,"i wanted"
602,"i should"
601,"and get"
601,"had the"
601,"im so"
600,"but they"
598,"have no"
598,"it up"
595,"but im"
595,"has to"
595,"know how"
592,"to try"
591,"but you"
591,"what they"
590,"think of"
589,"being a"
588,"for it"
588,"if he"
588,"talking about"
586,"can you"
586,"they can"
585,"the team"
584,"like i"
584,"said in"
583,"how many"
582,"and now"
582,"fact that"
582,"the show"
581,"all i"
581,"looks like"
581,"time and"
580,"for our"
579,"to an"
578,"do the"
578,"my own"
578,"to look"
575,"front of"
575,"in fact"
574,"like it"
572,"to pay"
571,"and if"
570,"and she"
570,"could have"
569,"but we"
568,"listening to"
567,"on it"
567,"say that"
566,"bit of"
566,"due to"
566,"me that"
565,"out for"
565,"rather than"
564,"with this"
563,"less than"
562,"a way"
562,"because it"
562,"know i"
562,"with your"
560,"new jersey"
559,"he would"
559,"the middle"
558,"is also"
558,"on to"
557,"as you"
557,"is now"
556,"not sure"
555,"to tell"
555,"to think"
554,"not have"
553,"the united"
552,"i went"
552,"to their"
550,"for us"
550,"the case"
549,"like this"
549,"that there"
549,"to it"
547,"because the"
547,"have an"
547,"that this"
547,"the more"
546,"and her"
546,"since the"
544,"can get"
544,"talk about"
544,"us to"
543,"at home"
543,"happy birthday"
543,"you could"
542,"this one"
540,"chance to"
540,"will not"
539,"from my"
539,"side of"
538,"supposed to"
537,"i havent"
537,"out in"
536,"because they"
536,"day of"
535,"day i"
535,"for their"
535,"in front"
535,"in new"
535,"it on"
535,"may have"
535,"much of"
535,"the national"
534,"i said"
533,"and how"
533,"for her"
533,"was so"
532,"i miss"
532,"on our"
532,"they had"
532,"they will"
531,"a while"
531,"close to"
531,"i used"
530,"live in"
530,"on twitter"
529,"is what"
529,"on that"
528,"seems to"
527,"and their"
527,"should have"
527,"so we"
527,"tell me"
527,"wish i"
526,"a nice"
525,"all that"
525,"my first"
525,"sort of"
523,"my mom"
521,"top of"
520,"to buy"
519,"and so"
518,"makes me"
517,"i found"
517,"in order"
517,"to follow"
516,"i never"
516,"made a"
516,"people are"
516,"to stay"
516,"we all"
516,"you in"
515,"do with"
515,"the word"
515,"to talk"
515,"you like"
513,"to stop"
512,"good morning"
512,"they dont"
512,"what it"
511,"between the"
510,"i mean"
510,"you see"
509,"me the"
509,"the final"
509,"to live"
509,"we dont"
508,"who have"
507,"a huge"
507,"in one"
506,"united states"
505,"think about"
505,"you a"
504,"for years"
504,"thats a"
504,"when she"
503,"the road"
503,"was going"
502,"are so"
502,"its been"
502,"next week"
502,"tell you"
501,"a chance"
501,"and for"
501,"be on"
501,"full of"
501,"with some"
501,"with that"
499,"i also"
499,"to read"
499,"told me"
499,"with it"
498,"the future"
498,"you all"
497,"she has"
497,"we do"
496,"no longer"
495,"in it"
494,"thats what"
493,"are going"
492,"but that"
492,"continue to"
492,"not just"
492,"seem to"
491,"amount of"
491,"in to"
491,"just got"
490,"off to"
489,"know the"
489,"me in"
488,"day and"
488,"his own"
486,"the night"
486,"to show"
486,"two years"
485,"a time"
484,"i knew"
482,"am i"
482,"at am"
481,"and this"
481,"every day"
481,"to create"
481,"you just"
480,"all my"
480,"of time"
480,"the back"
479,"all day"
479,"i made"
479,"it just"
479,"life is"
479,"the idea"
478,"and what"
478,"it with"
478,"take the"
478,"what are"
476,"do that"
475,"and when"
474,"listen to"
474,"the man"
473,"out a"
472,"it for"
471,"a better"
471,"at my"
471,"waiting for"
470,"it but"
470,"it doesnt"
470,"looking at"
470,"were not"
470,"where i"
469,"the school"
469,"while the"
468,"in all"
468,"much more"
468,"the kids"
467,"and some"
467,"find a"
467,"interested in"
467,"them in"
467,"time in"
467,"with all"
466,"and there"
466,"its just"
466,"only one"
465,"good luck"
465,"my new"
465,"today i"
464,"made it"
464,"the entire"
464,"the great"
463,"the old"
463,"the public"
462,"any of"
462,"but if"
460,"and will"
460,"can see"
459,"would like"
458,"expected to"
458,"here in"
458,"wait for"
457,"until the"
457,"which was"
456,"for those"
456,"to that"
454,"the third"
454,"think that"
453,"how the"
453,"one day"
452,"to move"
452,"what he"
451,"all over"
451,"him and"
451,"that one"
450,"excited to"
450,"in its"
449,"has the"
449,"why i"
448,"before i"
448,"is this"
448,"out on"
447,"just as"
447,"what do"
446,"and an"
446,"them and"
446,"to share"
445,"can i"
445,"to him"
444,"about how"
444,"so the"
444,"to bring"
443,"and one"
442,"good to"
442,"you so"
441,"that in"
440,"that my"
439,"a friend"
439,"about this"
439,"an hour"
439,"to write"
438,"and even"
438,"was an"
438,"well i"
438,"your own"
437,"or not"
437,"with their"
435,"how i"
435,"know if"
435,"next year"
434,"a month"
434,"mothers day"
432,"back and"
432,"it seems"
432,"of me"
431,"im just"
431,"the good"
430,"and as"
430,"and has"
429,"got the"
429,"it as"
429,"los angeles"
429,"said she"
429,"who had"
428,"my mind"
428,"of being"
428,"order to"
428,"she had"
427,"people in"
426,"here is"
426,"in some"
426,"it can"
426,"thats the"
425,"with him"
423,"director of"
423,"i always"
423,"my heart"
423,"talk to"
422,"along the"
422,"among the"
422,"for them"
422,"think the"
421,"much as"
421,"out with"
421,"that its"
418,"a bad"
418,"a large"
418,"even more"
418,"the car"
417,"he will"
417,"may not"
417,"the states"
416,"as if"
416,"but in"
416,"day to"
416,"see what"
415,"comes to"
413,"is very"
412,"a whole"
412,"be an"
412,"he did"
412,"now that"
412,"sense of"
411,"see a"
411,"would not"
410,"is about"
410,"the family"
409,"this season"
409,"to eat"
408,"and your"
408,"to run"
408,"use of"
407,"how do"
407,"on her"
407,"to change"
406,"to learn"
405,"came to"
405,"which i"
405,"years of"
404,"not going"
403,"that have"
403,"use the"
402,"are all"
402,"the weekend"
402,"think its"
402,"we could"
401,"deal with"
401,"i believe"
401,"i couldnt"
401,"it comes"
401,"since i"
400,"gonna be"
400,"the worst"
400,"to sleep"
400,"was to"
400,"you may"
399,"back on"
399,"said they"
399,"the morning"
398,"and are"
397,"he says"
396,"be there"
396,"more of"
396,"on and"
396,"the ball"
396,"were in"
396,"what to"
395,"become a"
395,"yes i"
394,"we got"
393,"am not"
393,"for him"
393,"wont be"
392,"because he"
392,"in love"
392,"is more"
392,"list of"
392,"sure to"
392,"when a"
392,"you would"
391,"lack of"
391,"thinking about"
390,"and thats"
390,"so it"
390,"they would"
389,"a real"
389,"did i"
389,"the money"
388,"but this"
388,"happy to"
388,"long as"
388,"the very"
388,"you the"
387,"things that"
387,"work on"
387,"your life"
386,"it wasnt"
386,"made the"
386,"my head"
386,"the door"
386,"what was"
385,"ability to"
385,"im sure"
385,"my friends"
385,"the number"
385,"up at"
385,"would love"
384,"and had"
384,"do this"
384,"dont like"
384,"have any"
384,"his first"
384,"i started"
384,"is there"
384,"needed to"
384,"of new"
384,"to them"
383,"but a"
383,"just like"
383,"look like"
383,"see it"
383,"the biggest"
383,"the film"
383,"would you"
382,"easy to"
382,"have some"
382,"now and"
382,"over a"
382,"that if"
382,"year and"
381,"do a"
380,"just the"
380,"make me"
380,"might have"
380,"san francisco"
380,"so you"
379,"and on"
379,"hope to"
379,"members of"
379,"you too"
378,"after all"
378,"the government"
378,"the week"
378,"to leave"
378,"way of"
378,"where you"
377,"a second"
377,"is for"
377,"likely to"
377,"miss you"
377,"piece of"
377,"with them"
376,"is all"
376,"my friend"
376,"these are"
376,"university of"
375,"down and"
375,"some people"
375,"the federal"
375,"while i"
374,"the point"
374,"with us"
373,"day in"
373,"have had"
373,"little bit"
373,"next to"
373,"that were"
372,"a different"
372,"dont get"
372,"i say"
372,"of life"
372,"the sun"
371,"long time"
370,"at work"
370,"find out"
370,"group of"
370,"the main"
369,"could not"
369,"here and"
369,"the movie"
369,"the st"
369,"they do"
369,"think it"
368,"a woman"
368,"on friday"
368,"only a"
368,"the law"
368,"though i"
368,"told the"
367,"her to"
367,"i remember"
367,"no matter"
366,"as long"
366,"come on"
366,"opportunity to"
366,"throughout the"
366,"was on"
366,"was that"
365,"and just"
365,"something that"
365,"sounds like"
365,"today is"
364,"that can"
364,"time of"
364,"to let"
363,"a game"
363,"for example"
363,"took a"
363,"us and"
362,"made me"
362,"on saturday"
361,"home and"
361,"with no"
361,"you might"
360,"didnt know"
360,"i felt"
360,"social media"
360,"the bottom"
360,"the real"
359,"a single"
359,"a wonderful"
359,"im in"
359,"one thing"
359,"that im"
359,"the university"
359,"theres no"
358,"people to"
357,"to become"
357,"to us"
357,"were going"
356,"san diego"
356,"we want"
355,"a book"
355,"a place"
355,"and said"
355,"from his"
355,"me know"
354,"president of"
354,"see how"
354,"the american"
353,"friends and"
353,"on monday"
353,"where he"
353,"work with"
352,"every time"
352,"willing to"
352,"you go"
351,"is being"
351,"so excited"
351,"that could"
351,"we should"
350,"he also"
350,"said we"
350,"same time"
350,"then the"
349,"and be"
349,"be at"
349,"his wife"
349,"the problem"
349,"the things"
349,"through a"
348,"i find"
348,"is always"
348,"now the"
348,"right to"
348,"the group"
347,"and make"
347,"million in"
347,"work in"
346,"a free"
346,"its all"
346,"work and"
345,"focus on"
345,"have not"
345,"is like"
345,"the truth"
345,"to spend"
344,"about what"
344,"be more"
