"keys","vals"
"a",0.0154986168695915
"aaron",0.006
"ab",0.00789473684210526
"abandoned",0.00625
"abc",0.00630252100840336
"abilities",0.0102739726027397
"ability",0.00741106719367589
"able",0.000414823008849558
"aboard",0.03125
"abortion",0.00914634146341463
"about",0.0106521623490611
"above",0.00878220140515222
"abraham",0.0111940298507463
"abroad",0.0178571428571429
"absence",0.0315789473684211
"absolute",0.00528169014084507
"absolutely",0.0189393939393939
"abstract",0.01171875
"absurd",0.0131578947368421
"abuse",0.0186170212765957
"abused",0.0272727272727273
"ac",0.0133928571428571
"academic",0.00810810810810811
"academy",0.0236486486486486
"accent",0.0297029702970297
"accept",0.0184426229508197
"acceptable",0.0077319587628866
"acceptance",0.0182926829268293
"accepted",0.0280898876404494
"accepting",0.0137614678899083
"access",0.0145348837209302
"accessible",0.0182926829268293
"accessories",0.0076530612244898
"accident",0.0265748031496063
"accidentally",0.00862068965517241
"accidents",0.01171875
"accommodate",0.0113636363636364
"accompanied",0.00700934579439252
"accomplish",0.0125
"accomplished",0.0192307692307692
"accomplishment",0.0119047619047619
"accomplishments",0.0120967741935484
"according",0.000474683544303797
"account",0.0154185022026432
"accountability",0.009375
"accountable",0.0138888888888889
"accounting",0.03125
"accounts",0.0225
"accurate",0.0126050420168067
"accusations",0.0409090909090909
"accused",0.00553505535055351
"ace",0.0104166666666667
"achieve",0.023936170212766
"achieved",0.00815217391304348
"achievement",0.00646551724137931
"acid",0.0127118644067797
"acknowledge",0.0164835164835165
"acknowledged",0.00568181818181818
"acoustic",0.00986842105263158
"acquired",0.0137614678899083
"acquisition",0.0138888888888889
"acre",0.00842696629213483
"acres",0.0165441176470588
"across",0.0084
"act",0.0212585034013605
"acted",0.01875
"acting",0.018048128342246
"action",0.0238246505717916
"actions",0.0231164383561644
"active",0.0128865979381443
"actively",0.01
"activist",0.0104166666666667
"activists",0.00757575757575758
"activities",0.0139257294429708
"activity",0.0308544303797468
"actor",0.0231277533039648
"actors",0.0260869565217391
"actress",0.0164233576642336
"acts",0.0224358974358974
"actual",0.00404312668463612
"actually",0.0249017038007864
"ad",0.0202702702702703
"adam",0.00627615062761506
"adams",0.006
"adapted",0.0220588235294118
"add",0.0114795918367347
"added",0.012306289881495
"addicted",0.00806451612903226
"addiction",0.0159574468085106
"adding",0.0162689804772234
"addition",0.0047568710359408
"additional",0.00176470588235294
"address",0.0223048327137546
"addressed",0.0375
"addresses",0.0125
"addressing",0.0133928571428571
"adds",0.0206043956043956
"adele",0.0129310344827586
"adjust",0.0180722891566265
"adjusted",0.0120967741935484
"adjustment",0.0545454545454545
"administration",0.0107142857142857
"administrative",0.00961538461538462
"administrator",0.01
"administrators",0.00914634146341463
"admire",0.0110294117647059
"admission",0.0230061349693252
"admit",0.0218446601941748
"admitted",0.0146103896103896
"adopt",0.0252808988764045
"adopted",0.0298013245033113
"adoption",0.0197368421052632
"adorable",0.00454545454545455
"adore",0.00872093023255814
"ads",0.0203804347826087
"adult",0.0116822429906542
"adults",0.012214983713355
"advance",0.020979020979021
"advanced",0.00460122699386503
"advantage",0.0109011627906977
"adventure",0.0252403846153846
"adventures",0.0222772277227723
"advertising",0.0155601659751037
"advice",0.0305139186295503
"advised",0.01171875
"advisory",0.025
"advocacy",0.0271084337349398
"advocate",0.0145631067961165
"advocates",0.0133928571428571
"affair",0.0132743362831858
"affairs",0.00506756756756757
"affect",0.03
"affected",0.00920245398773006
"affecting",0.0136363636363636
"affection",0.0263157894736842
"affects",0.00872093023255814
"afford",0.0133928571428571
"affordable",0.0214285714285714
"afghan",0.00892857142857143
"afghanistan",0.0130434782608696
"afraid",0.0148725212464589
"africa",0.0158898305084746
"african",0.0178571428571429
"after",0.0117214633016902
"afternoon",0.0241935483870968
"afterward",0.00974025974025974
"afterwards",0.0076530612244898
"again",0.0154164442071543
"against",0.00824800910125142
"age",0.0205479452054795
"aged",0.00925925925925926
"agencies",0.01036866359447
"agency",0.0132093933463796
"agenda",0.01
"agent",0.0134328358208955
"agents",0.0110294117647059
"ages",0.0108303249097473
"aggravated",0.0136363636363636
"aggressive",0.00815217391304348
"aging",0.00806451612903226
"ago",0.0144230769230769
"agree",0.012311901504788
"agreed",0.0193014705882353
"agreement",0.0186980609418283
"agreements",0.0120967741935484
"agrees",0.0104166666666667
"agricultural",0.0136363636363636
"agriculture",0.0122950819672131
"ah",0.00626304801670146
"aha",0.0105633802816901
"ahead",0.0171919770773639
"ahh",0.0076530612244898
"aid",0.0108695652173913
"aide",0.0138888888888889
"aids",0.01171875
"aim",0.0200892857142857
"aimed",0.00641025641025641
"aint",0.00622923588039867
"air",0.0233369098712446
"aircraft",0.00833333333333333
"airline",0.00789473684210526
"airlines",0.00446428571428571
"airplane",0.0136363636363636
"airport",0.0158132530120482
"airports",0.0127118644067797
"aj",0.0111940298507463
"aka",0.00407608695652174
"akron",0.0113636363636364
"al",0.0146103896103896
"ala",0.0120967741935484
"alabama",0.006
"alan",0.00714285714285714
"alarm",0.0229007633587786
"alas",0.0223880597014925
"alaska",0.0101351351351351
"albeit",0.0129310344827586
"albert",0.0185950413223141
"album",0.0232919254658385
"albums",0.00694444444444444
"alcohol",0.0184210526315789
"aldridge",0.00949367088607595
"ale",0.0101809954751131
"alert",0.0102040816326531
"alex",0.00934579439252336
"alexander",0.0077319587628866
"ali",0.0131578947368421
"alice",0.0211267605633803
"alien",0.0111940298507463
"alike",0.00824175824175824
"alive",0.0235042735042735
"all",0.0102778971494055
"allegations",0.01171875
"alleged",0.00490196078431373
"allegedly",0.00590551181102362
"allen",0.00327510917030568
"alley",0.0127118644067797
"alliance",0.0288461538461538
"allies",0.0234375
"allow",0.0153301886792453
"allowed",0.00906344410876133
"allowing",0.00882352941176471
"allows",0.0170454545454545
"allstar",0.0125
"alltime",0.0166666666666667
"ally",0.0133928571428571
"almost",0.0209227467811159
"alone",0.0218978102189781
"along",0.00910931174089069
"alongside",0.00568181818181818
"already",0.0239173228346457
"alright",0.00290697674418605
"also",0.0185502958579882
"alter",0.03515625
"alternate",0.0129310344827586
"alternative",0.0147058823529412
"alternatives",0.0194805194805195
"although",0.0117511520737327
"altogether",0.0122950819672131
"always",0.0234903109508788
"am",0.0121610573647636
"amanda",0.00914634146341463
"amateur",0.0136363636363636
"amazed",0.0277777777777778
"amazing",0.00929577464788733
"amazingly",0.0125
"amazon",0.0129310344827586
"ambassador",0.025
"amber",0.00862068965517241
"ambitious",0.0110294117647059
"ambulance",0.0131578947368421
"amen",0.0046875
"amendment",0.00920245398773006
"america",0.0231042654028436
"american",0.0195859872611465
"americans",0.0194223107569721
"americas",0.0147058823529412
"amid",0.0128205128205128
"among",0.00629194630872483
"amongst",0.0154639175257732
"amount",0.00671641791044776
"amounts",0.0111940298507463
"amy",0.0225563909774436
"an",0.0214758577208007
"ana",0.01171875
"analysis",0.0145631067961165
"analyst",0.00517241379310345
"analysts",0.00433526011560694
"anchor",0.0119047619047619
"ancient",0.00903614457831325
"and",0.0145622510935562
"anderson",0.0111111111111111
"andor",0.00433526011560694
"andre",0.0127118644067797
"andrea",0.0122950819672131
"andrew",0.00875486381322957
"android",0.0269784172661871
"andy",0.00993377483443709
"angel",0.0128571428571429
"angela",0.0127118644067797
"angeles",0.0119589977220957
"angels",0.00847457627118644
"anger",0.0236842105263158
"angle",0.009375
"angry",0.0204081632653061
"animal",0.0304878048780488
"animals",0.0199115044247788
"animated",0.0127118644067797
"ankle",0.0272727272727273
"ann",0.0122950819672131
"anna",0.00604838709677419
"anne",0.0120967741935484
"annie",0.01171875
"anniversary",0.0228040540540541
"announce",0.0223880597014925
"announced",0.0141509433962264
"announcement",0.0229591836734694
"announces",0.0272727272727273
"announcing",0.0241935483870968
"annoyed",0.009375
"annoying",0.0190677966101695
"annual",0.00921052631578947
"annually",0.00806451612903226
"anonymous",0.0154639175257732
"another",0.0190104801364855
"answer",0.0279783393501805
"answered",0.015
"answering",0.0214285714285714
"answers",0.0342323651452282
"anthem",0.0394736842105263
"anthony",0.00311203319502075
"anticipated",0.00842696629213483
"anticipation",0.0288461538461538
"antique",0.0119047619047619
"antonio",0.0178571428571429
"anxiety",0.0127118644067797
"anxious",0.0357142857142857
"any",0.0165738866396761
"anybody",0.0275735294117647
"anymore",0.0200205338809035
"anyone",0.0200352822580645
"anything",0.0200680272108844
"anytime",0.0223880597014925
"anyway",0.0190174326465927
"anywhere",0.0255417956656347
"ap",0.00694444444444444
"apart",0.0171428571428571
"apartment",0.0245535714285714
"apartments",0.01
"apologies",0.0410958904109589
"apologize",0.014018691588785
"apology",0.0362903225806452
"app",0.0158450704225352
"apparent",0.0107913669064748
"apparently",0.0198675496688742
"appeal",0.0112359550561798
"appealing",0.028125
"appeals",0.0170454545454545
"appear",0.0093167701863354
"appearance",0.0249077490774908
"appearances",0.00961538461538462
"appeared",0.00852272727272727
"appearing",0.0284810126582278
"appears",0.0138522427440633
"applause",0.0230769230769231
"apple",0.0255863539445629
"apples",0.0161870503597122
"application",0.0172811059907834
"applications",0.0241935483870968
"applied",0.0218023255813953
"applies",0.01
"apply",0.0193726937269373
"applying",0.0178571428571429
"appointed",0.00641025641025641
"appointment",0.0165745856353591
"appointments",0.0202702702702703
"appreciate",0.0150273224043716
"appreciated",0.0114503816793893
"appreciation",0.0220588235294118
"approach",0.0122093023255814
"approached",0.0119047619047619
"approaches",0.00914634146341463
"approaching",0.00842696629213483
"appropriate",0.0120481927710843
"approval",0.00842696629213483
"approve",0.0142857142857143
"approved",0.0101351351351351
"approximately",0.00630252100840336
"apps",0.0225903614457831
